None,no_label
Mogens Lykketoft,Socialdemokratiet
Peter Juel Jensen,Venstre
Niels Sindal,Socialdemokratiet
Henrik Brodersen,Dansk Folkeparti
Høgni Hoydal,Tjóðveldi
Kristen Touborg,SF
Mike Legarth,Det Konservative Folkeparti
Niels Helveg Petersen,Radikale Venstre
Frank Aaen,Enhedslisten
Claus Hjort Frederiksen,Venstre
Leif Lahn Jensen,Socialdemokratiet
Bent Bøgsted,Dansk Folkeparti
Hanne Agersnap,SF
Knud Kristensen,Det Konservative Folkeparti
Inger Støjberg,Venstre
Torsten Schack Pedersen,Venstre
John Dyrby Paulsen,Socialdemokratiet
Mikkel Dencker,Dansk Folkeparti
Kristian Jensen,Venstre
Jesper Petersen,Socialdemokratiet
Gitte Lillelund Bech,Venstre
Kim Andersen,Venstre
Lise von Seelen,Socialdemokratiet
Søren Krarup,Dansk Folkeparti
Rasmus Jarlov,Det Konservative Folkeparti
Tina Nedergaard,Venstre
Jacob Jensen,Venstre
Morten Bødskov,Socialdemokratiet
Tina Petersen,Dansk Folkeparti
Ole Sohn,Socialdemokratiet
Villum Christensen,Liberal Alliance
Mads Rørvig,Venstre
Klaus Hækkerup,Socialdemokratiet
Jens Peter Vernersen,Socialdemokratiet
Troels Lund Poulsen,Venstre
Søren Espersen,Dansk Folkeparti
Hans Christian Thoning,Venstre
Anne Grete Holmsgaard,SF
Troels Christensen,Venstre
Mogens Jensen,Socialdemokratiet
Pernille Frahm,SF
Henrik Rasmussen,Det Konservative Folkeparti
Per Clausen,Enhedslisten
Per Stig Møller,Det Konservative Folkeparti
Lars Christian Lilleholt,Venstre
Ole Hækkerup,Socialdemokratiet
Per Dalgaard,Dansk Folkeparti
Jakob Axel Nielsen,Det Konservative Folkeparti
Lykke Friis,Venstre
Helge Adam Møller,Det Konservative Folkeparti
Karen Hækkerup,Socialdemokratiet
Karsten Nonbo,Venstre
Karina Lorentzen Dehnhardt,SF
Dennis Flydtkjær,Dansk Folkeparti
Marlene Harpsøe,Dansk Folkeparti
Lone Dybkjær,Radikale Venstre
Line Barfod,Enhedslisten
Simon Emil Ammitzbøll,Liberal Alliance
Karsten Lauritzen,Venstre
Maja Panduro,Socialdemokratiet
Hans Kristian Skibby,Dansk Folkeparti
Meta Fuglsang,SF
Naser Khader,Det Konservative Folkeparti
Johanne Schmidt-Nielsen,Enhedslisten
Birthe Rønn Hornbech,Venstre
Malou Aamund,Venstre
Kirsten Brosbøl,Socialdemokratiet
Jørgen S. Lundsgaard,Det Konservative Folkeparti
Helge Sander,Venstre
Per Bisgaard,Venstre
Rasmus Prehn,Socialdemokratiet
Flemming Bonne,SF
Karen Ellemann,Venstre
Erling Bonnesen,Venstre
Pernille Vigsø Bagge,SF
Orla Hav,Socialdemokratiet
Vivi Kier,Det Konservative Folkeparti
Anne Marie Geisler Andersen,Radikale Venstre
Ellen Trane Nørby,Venstre
Karin Nødgaard,Dansk Folkeparti
Carina Christensen,Det Konservative Folkeparti
Helle Sjelle,Det Konservative Folkeparti
Johs. Poulsen,Radikale Venstre
Eyvind Vesselbo,Venstre
Benny Engelbrecht,Socialdemokratiet
Jørn Dohrmann,Dansk Folkeparti
Ida Auken,Radikale Venstre
Per Ørum Jørgensen,Det Konservative Folkeparti
Thomas Jensen,Socialdemokratiet
Nanna Westerby,Socialdemokratiet
Holger K. Nielsen,SF
Marianne Jelved,Radikale Venstre
Anne-Mette Winther Christiansen,Venstre
Carsten Hansen,Socialdemokratiet
Mette Gjerskov,Socialdemokratiet
Per Husted,Socialdemokratiet
Steen Konradsen,Det Konservative Folkeparti
Margrethe Vestager,Radikale Venstre
Jesper Langballe,Dansk Folkeparti
Jonas Dahl,SF
Charlotte Sahl-Madsen,Det Konservative Folkeparti
Anita Knakkergaard,Dansk Folkeparti
Liselott Blixt,Dansk Folkeparti
Bertel Haarder,Venstre
Birgitte Josefsen,Venstre
Sophie Hæstorp Andersen,Socialdemokratiet
Erika Lorentsen,Radikale Venstre
Sophie Løhde,Venstre
Pia Olsen Dyhr,SF
Morten Østergaard,Radikale Venstre
Anders Samuelsen,Liberal Alliance
Ulla Tørnæs,Venstre
Eigil Andersen,SF
Kristian Pihl Lorentzen,Venstre
Ole Vagn Christensen,Socialdemokratiet
Jens Kirk,Venstre
Henrik Høegh,Venstre
Bjarne Laustsen,Socialdemokratiet
Tage Leegaard,Det Konservative Folkeparti
Nick Hækkerup,Socialdemokratiet
Brian Mikkelsen,Det Konservative Folkeparti
Peter Madsen,Venstre
Jørgen Poulsen,Radikale Venstre
Jens Christian Lund,Socialdemokratiet
Colette L. Brix,Dansk Folkeparti
Bente Dahl,Radikale Venstre
Flemming Damgaard Larsen,Venstre
Karsten Hønge,SF
Steen Gade,SF
Flemming Møller Mortensen,Socialdemokratiet
Karen J. Klint,Socialdemokratiet
Julie Skovsby,Socialdemokratiet
Jens Vibjerg,Venstre
René Christensen,Dansk Folkeparti
Flemming Møller,Venstre
Eva Kjer Hansen,Venstre
Jeppe Kofod,Socialdemokratiet
Kamal Qureshi,SF
Lars Barfoed,Det Konservative Folkeparti
Lars Løkke Rasmussen,Venstre
Kim Mortensen,Socialdemokratiet
Peter Skaarup,Dansk Folkeparti
Lene Espersen,Det Konservative Folkeparti
Yildiz Akdogan,Socialdemokratiet
Benedikte Kiær,Det Konservative Folkeparti
Edmund Joensen,Sambandsflokkurin
Christine Antorini,Socialdemokratiet
Henrik Dam Kristensen,Socialdemokratiet
Astrid Krag,Socialdemokratiet
Mette Frederiksen,Socialdemokratiet
Sanne Rubinke,SF
Lennart Damsbo-Andersen,Socialdemokratiet
Özlem Sara Cekic,SF
Peter Christensen,Venstre
Karl H. Bornhøft,SF
Christian H. Hansen,Dansk Folkeparti
Tom Behnke,Det Konservative Folkeparti
Helle Dam,Socialdemokratiet
Britta Schall Holberg,Venstre
Magnus Heunicke,Socialdemokratiet
Kim Christiansen,Dansk Folkeparti
Ib Poulsen,Dansk Folkeparti
Martin Henriksen,Dansk Folkeparti
Louise Schack Elholm,Venstre
Charlotte Dyremose,Det Konservative Folkeparti
Henriette Kjær,Det Konservative Folkeparti
Torben Hansen,Socialdemokratiet
Michael Aastrup Jensen,Venstre
Sofia Rossen,Inuit Ataqatigiit
Irene Simonsen,Venstre
Pia Adelsteen,Dansk Folkeparti
Preben Rudiengaard,Venstre
Pia Christmas-Møller,Det Konservative Folkeparti
Julie Rademacher,Socialdemokratiet
Hans Christian Schmidt,Venstre
Poul Andersen,Socialdemokratiet
Helle Thorning-Schmidt,Socialdemokratiet
Villy Søvndal,SF
René Skau Björnsson,Socialdemokratiet
Lone Møller,Socialdemokratiet
Anne Baastrup,SF
Kristian Thulesen Dahl,Dansk Folkeparti
Kurt Scheelsbeck,Det Konservative Folkeparti
Pia Kjærsgaard,Dansk Folkeparti
Henrik Sass Larsen,Socialdemokratiet
Marion Pedersen,Venstre
Rasmus Jarlov (KF),Det Konservative Folkeparti
Søren Pind,Venstre
Irene Simonsen (V),Venstre
Anne-Marie Meldgaard,Socialdemokratiet
Per Løkken,Det Konservative Folkeparti
Bente Kronborg Holst,Dansk Folkeparti
Kasper Krüger,Venstre
Connie Hedegaard,Det Konservative Folkeparti
Juliane Henningsen,Inuit Ataqatigiit
Doris Jakobsen,Siumut
Karen Jespersen,Venstre
", fg.",no_match
Søren Gade,Venstre
Anita Christensen,Dansk Folkeparti
Vibeke Grave,Socialdemokratiet
Thor Pedersen,Venstre
Lars-Emil Johansen,Siumut
Daniel Rugholm,Det Konservative Folkeparti
Peter Westermann,SF
Manu Sareen,Radikale Venstre
Niels Høiby,Liberal Alliance
Trine Mach,SF
DF,no_label
Malene Søgaard-Andersen,SF
Bilal Inekci,SF
Anna Kirsten Olesen,Socialdemokratiet
Hüseyin Arac,Socialdemokratiet
Jens Arne Hedegaard,Venstre
Kenneth Kristensen Berth,Dansk Folkeparti
Nadeem Farooq,Radikale Venstre
Lotte Rod,Radikale Venstre
Ida Damborg,SF
Mette Bock,Liberal Alliance
Jacob Bjerregaard,Socialdemokratiet
Zenia Stampe,Radikale Venstre
Christian Langballe,Dansk Folkeparti
Jan E. Jørgensen,Venstre
Merete Riisager,Liberal Alliance
Alex Ahrendtsen,Dansk Folkeparti
Jeppe Mikkelsen,Radikale Venstre
Pernille Skipper,Enhedslisten
Mette Reissmann,Socialdemokratiet
Thor Möger Pedersen,SF
Anni Matthiesen,Venstre
Uffe Elbæk,Radikale Venstre
Troels Ravn,Socialdemokratiet
Hans Vestager,Radikale Venstre
Stine Brix,Enhedslisten
Annette Vilhelmsen,SF
Lars Dohn,Enhedslisten
Ole Birk Olesen,Liberal Alliance
Nikolaj Villumsen,Enhedslisten
Jens Joel,Socialdemokratiet
Jakob Ellemann-Jensen,Venstre
Bjarne Corydon,Socialdemokratiet
Mette Hjermind Dencker,Dansk Folkeparti
Karina Adsbøl,Dansk Folkeparti
Joachim B. Olsen,Liberal Alliance
Nicolai Wammen,Socialdemokratiet
Sofie Carsten Nielsen,Radikale Venstre
Ane Halsboe-Larsen,Socialdemokratiet
Karin Gaardsted,Socialdemokratiet
Mai Henriksen,Det Konservative Folkeparti
Jens Henrik Thulesen Dahl,Dansk Folkeparti
Christian Juhl,Enhedslisten
Trine Bramsen,Socialdemokratiet
Lisbeth Bech Poulsen,SF
Simon Kollerup,Socialdemokratiet
Annette Lind,Socialdemokratiet
Liv Holm Andersen,Radikale Venstre
Sara Olsvig,Inuit Ataqatigiit
Sjúrður Skaale,Javnaðarflokkurin
Preben Bang Henriksen,Venstre
Esben Lunde Larsen,Venstre
Andreas Steenberg,Radikale Venstre
Martin Geertsen,Venstre
Pernille Rosenkrantz-Theil,Socialdemokratiet
Thomas Danielsen,Venstre
Finn Sørensen,Enhedslisten
Jørgen Arbo-Bæhr,Enhedslisten
Rasmus Horn Langhoff,Socialdemokratiet
Henning Hyllested,Enhedslisten
Hans Andersen,Venstre
Fatma Øktem,Venstre
Jan Johansen,Socialdemokratiet
Marlene B. Lorentzen,Radikale Venstre
Thyra Frank,Liberal Alliance
Camilla Hersom,Radikale Venstre
Martin Lidegaard,Radikale Venstre
Jane Heitmann,Venstre
Rasmus Helveg Petersen,Radikale Venstre
Marie Krarup,Dansk Folkeparti
Leif Mikkelsen,Liberal Alliance
Morten Marinus,Dansk Folkeparti
Rosa Lund,Enhedslisten
Marlene Borst Hansen,Radikale Venstre
Christian Friis Bach,Radikale Venstre
Lone Loklindt,Radikale Venstre
Merete Dea Larsen,Dansk Folkeparti
Anne Sina,Socialdemokratiet
Mie Bergmann,Radikale Venstre
Daniel Toft Jakobsen,Socialdemokratiet
Mette Boye,SF
Karen Touborg,SF
Ane Halsboe-Jørgensen,Socialdemokratiet
Linda Kristiansen,Radikale Venstre
Kisser Franciska Lehnert,Liberal Alliance
Laura Lindahl,Liberal Alliance
Pernille Boye Koch,Alternativet
fg.,no_match
Jakob Engel-Schmidt,Venstre
Finn Thranum,Venstre
Johan Lund Olsen,Inuit Ataqatigiit
Mai Mercado,Det Konservative Folkeparti
Annika Smith,SF
Dan Jørgensen,Socialdemokratiet
Jeppe Bruus,Socialdemokratiet
Sanne Bjørn,Radikale Venstre
Peder Christensen,Socialdemokratiet
Rasmus Lynghøj,Socialdemokratiet
Pelle Dragsted,Enhedslisten
Marcus Knuth,Venstre
Ulla Sandbæk,Alternativet
Jacob Mark,SF
Jeppe Jakobsen,Dansk Folkeparti
Josephine Fock,Alternativet
Trine Torp,SF
Søren Egge Rasmussen,Enhedslisten
Mattias Tesfaye,Socialdemokratiet
Jørn Neergaard Larsen,Venstre
Rune Lund,Enhedslisten
Erika Lortentsen,Radikale Venstre
